address_id,neighborhood_id,street,latitude,longitude
98,98,5811 Jefferson Terrace,33.4677997,-112.0058692
99,99,5807 Cedar Road,33.4838212,-112.1043546
100,100,3786 Jefferson Avenue,33.4886295,-112.1058288
101,101,4418 Lake Street,33.5016030,-112.0917777
102,102,4170 Broadway Way,33.5129031,-112.0740546
103,103,1409 Lake Road,33.5224278,-112.0814885
104,104,8005 Park Street,33.5062237,-112.0515266
105,105,962 Maple Avenue,33.5124999,-112.0978581
106,106,3929 Lake Road,33.5037656,-112.0437626
107,107,5867 Hill Terrace,33.5264006,-112.1187714
108,108,2892 Hill Street,33.5075156,-111.9816199
109,109,6311 Lake Avenue,33.5413969,-112.1375093
110,110,9513 Washington Avenue,33.5562331,-112.0476274
111,111,9032 Pine Place,39.9516059,-75.1632187
112,112,7234 Maple Avenue,39.9548092,-75.1702467
113,113,9998 Main Terrace,39.9547366,-75.1718908
114,114,8688 Lake Drive,39.9595076,-75.1906411
115,115,6145 Lake Lane,39.9540894,-75.1580149
116,116,4004 Cedar Boulevard,39.9463280,-75.1490885
117,117,3541 Cedar Terrace,39.9544688,-75.1603345
118,118,9259 Maple Place,39.9585047,-75.1554303
119,119,1720 Jefferson Court,39.9463605,-75.1626949
120,120,4156 Pine Lane,39.9507902,-75.1536078
121,121,6322 Oak Road,40.0561334,-75.0836105
122,122,7387 Lake Court,39.8993827,-75.1892421
123,123,6227 Lake Street,39.8848647,-75.2483905
124,124,5394 Broadway Street,40.0452216,-74.9990936
125,125,119 Broadway Court,40.0986424,-75.0456305
126,126,1669 Lincoln Avenue,40.1246247,-74.9946255
127,127,1672 Jefferson Boulevard,40.0763213,-75.1397113
128,128,8418 Lake Drive,40.0792916,-75.2001320
129,129,8550 Main Street,40.0554753,-75.1880415
130,130,2609 Pine Court,40.0288187,-75.1185484
131,131,7925 Forest Terrace,29.4765091,-98.5388176
132,132,9020 Washington Road,29.4346673,-98.4782470
133,133,6012 Jefferson Street,29.4095292,-98.4721653
134,134,2349 Cedar Boulevard,29.4233284,-98.4969774
135,135,9025 Main Street,29.4262743,-98.4965128
136,136,7374 Oak Way,29.4419898,-98.5097576
137,137,5545 Oak Avenue,29.4309813,-98.5318731
138,138,9327 Jefferson Lane,29.4485342,-98.4722158
139,139,1105 Forest Court,29.4611082,-98.4526160
140,140,6475 Lincoln Way,29.4015954,-98.4751576
141,141,5937 Washington Avenue,29.3691043,-98.5243460
142,142,479 River Street,29.4697498,-98.5011401
143,143,224 Lake Terrace,29.5107728,-98.5375490
144,144,1093 Broadway Drive,29.3496340,-98.5084649
145,145,509 River Place,29.4382709,-98.4813614
146,146,8285 Hill Drive,29.5435952,-98.4977587
147,147,831 River Lane,29.5463236,-98.4182075
148,148,858 Jefferson Terrace,29.5172894,-98.4179513
149,149,6183 Pine Way,29.4168647,-98.3880746
150,150,8654 Broadway Place,29.3874794,-98.4470333
151,151,6825 Lake Street,32.7178468,-117.1659009
152,152,8897 Elm Street,32.7189371,-117.1299415
153,153,5123 Forest Court,32.7453764,-117.1678057
154,154,7917 Broadway Road,32.7538503,-117.1343823
155,155,5823 Main Court,32.7087053,-117.0987465
156,156,1269 Cedar Road,32.7165798,-117.2323773
157,157,9219 Main Terrace,32.7292623,-117.2544377
158,158,9279 Park Boulevard,32.7749069,-117.1352800
159,159,4156 Park Road,32.7992179,-117.2543788
160,160,2883 Washington Lane,32.7638108,-117.2037474
161,161,9171 River Terrace,32.8108467,-117.1713459
162,162,8331 Main Place,32.6922503,-117.1148272
163,163,6158 Park Drive,32.6795568,-117.0544989
164,164,2581 Maple Street,32.7720091,-117.0735701
165,165,3563 Cedar Terrace,32.7644768,-117.1206539
166,166,9756 Cedar Drive,32.8164689,-117.1979904
167,167,4909 Oak Boulevard,32.6788269,-117.1829517
168,168,3044 Park Boulevard,32.8021216,-117.0160054
169,169,270 Broadway Terrace,32.7896980,-117.0751082
170,170,7826 Broadway Boulevard,25.7728271,-80.1934904
171,171,2096 Lake Drive,25.7792937,-80.1975490
172,172,1661 Oak Court,25.7851631,-80.2038202
173,173,7642 Washington Drive,25.8002959,-80.1784581
174,174,9351 Jefferson Drive,25.8128036,-80.1713183
175,175,1980 Oak Avenue,25.8231114,-80.1584560
176,176,8139 Washington Avenue,25.8255587,-80.1480196
177,177,6006 Oak Terrace,25.8368811,-80.1350554
178,178,9228 Lake Place,25.8462423,-80.1297671
179,179,5872 Main Road,25.8635725,-80.1160367
180,180,4368 Lake Court,47.6098944,-122.3270401
181,181,328 Broadway Lane,47.6183077,-122.3200223
182,182,4249 Lincoln Court,47.6621742,-122.3367029
183,183,3424 Hill Avenue,47.6034436,-122.3287673
184,184,8091 Broadway Court,47.6532000,-122.3059003
185,185,2203 Park Terrace,47.5446671,-122.3583860
186,186,4974 Hill Lane,47.6578388,-122.3840047
187,187,419 Cedar Place,47.5475486,-122.3023731
188,188,9736 Cedar Way,47.6179379,-122.3544321
189,189,7908 Elm Boulevard,47.6150363,-122.5165697
190,190,4280 Forest Boulevard,42.3314213,-83.0516642
191,191,314 Elm Place,42.3599540,-83.0685185
192,192,6000 Cedar Street,42.4170340,-83.0836998
193,193,6500 Lake Avenue,42.3602165,-83.1175603
194,194,6065 Forest Boulevard,42.4235741,-82.9653779
195,195,3919 Lake Road,42.3662702,-83.0998124
196,196,4582 Elm Place,42.3457879,-83.0200314
197,197,1963 Main Drive,42.3360426,-83.0946948
198,198,4113 Hill Road,42.3003366,-83.1088748
199,199,5527 Lincoln Drive,42.3271531,-83.1250657
200,200,9826 Oak Way,33.7534452,-84.3849625
